,affection,agitation,alarm,anticipation,attention,awareness,awe,belief,cognition,consciousness,craziness,curiosity,decision,desire,disarray,disgust,distrust,dominance,drunkenness,contemplation,earnestness,ecstasy,embarrassment,exaltation,exhaustion,fatigue,friendliness,imagination,insanity,inspiration,intrigue,judgment,laziness,lethargy,lust,nervousness,objectivity,opinion,patience,peacefulness,pensiveness,pity,planning,playfulness,reason,relaxation,satisfaction,self-consciousness,self-pity,seriousness,skepticism,sleepiness,stupor,subordination,thought,trance,transcendence,uneasiness,weariness,worry
craziness,0.012338034754562714,0.021596476019616766,0.020238953735499103,0.017272862363741863,0.012979603664700426,0.013677364165935223,0.015300356535369144,0.015389382864462425,0.012835847833789526,0.014518501778048762,0.07575532670597541,0.015035270476820663,0.012109598052473209,0.015169404250931568,0.02031314519516446,0.02227353778060955,0.02277783103490127,0.012414261862846047,0.02081568012530997,0.012143716241207417,0.016402896041330797,0.01504825092279248,0.02016037110784719,0.018764198027515108,0.013417807147008357,0.011646086950609385,0.012254500311082326,0.013613283269322686,0.02282604168059939,0.014398198377722488,0.016883785648715732,0.016327508371480004,0.012555005460393445,0.012213881590046143,0.017054151110983212,0.0229293259501794,0.01412022327859699,0.015242760736806296,0.012724569843573808,0.010164584675820156,0.01322503776018288,0.019358220020330108,0.012695953578735627,0.013095570000982104,0.012735999798639114,0.009550831764556702,0.012812282564634235,0.019773040999502736,0.014302417178006066,0.017148966493731335,0.017263148431259853,0.010649751894234038,0.01679243153406781,0.014651872578487745,0.013227386399860692,0.015418154149583545,0.016128888239001587,0.019638241780614962,0.014649822455554328,0.023179396433643425
curiosity,0.018002909376464555,0.015757701951570613,0.016366763690809447,0.022894881506285703,0.019259126909623874,0.022163817994819635,0.015666001955172378,0.017190687394924308,0.016509714097945393,0.02010927469883328,0.01521908095106101,0.07668145720356272,0.016404038806912227,0.019338395890818507,0.013595504855613179,0.013008425964956417,0.0160690251003839,0.013770391275098399,0.014676343157212082,0.014019066005661059,0.018635653423650332,0.015750540606304778,0.011983013372509522,0.017875136313437484,0.013693117491713614,0.01194779144134634,0.01909619652480287,0.015073032654568809,0.013256973994291935,0.015267343309155312,0.021816413934367923,0.01433974705205563,0.012732910538685298,0.011903005024784885,0.01495340879233267,0.0157555349226525,0.014945142030186716,0.015055010665166166,0.01804935588929462,0.01381374194974597,0.01359746664443047,0.013296011480615181,0.015185071025295625,0.019354553388942458,0.015044194215538566,0.014051326026899146,0.019986577166653686,0.015655108607165936,0.010440920621180448,0.017168996816542464,0.014705067009915742,0.01197017728906333,0.014022432392205474,0.014036795275898505,0.01687078852775629,0.013979958306161559,0.015696445086302527,0.014837402534784942,0.013566921636708498,0.013888107229157003
decision,0.012402885470698071,0.01360499156259284,0.015360132540027027,0.019261051953060156,0.023678458991263026,0.023103286789312654,0.011679726930165404,0.017216791030545266,0.02472076813853819,0.020663324145473963,0.014067698247849448,0.018826384413378198,0.0880048265969702,0.013466699932329853,0.014818976354143766,0.011591931640420597,0.015783884591086633,0.016578668790174205,0.015002537040784107,0.016186771568936987,0.015599805581960592,0.011228334682699792,0.010597124085515278,0.01393207766680693,0.01352517385934855,0.012292559591817713,0.013597196985203857,0.013971474087199036,0.013094324054259258,0.012938939634114318,0.017914815694838587,0.019160303428137456,0.013467664324011407,0.012363246139366313,0.012218042631729598,0.013583780880816463,0.021632405629547897,0.019980876023998007,0.015633817680103534,0.010821525927841044,0.01423571308119453,0.011612112387527448,0.026185008352947473,0.013744835131494899,0.02115435990190952,0.011655797271510185,0.014491475533902192,0.01578130523556126,0.010044859103875198,0.017645721872155698,0.017808728136105893,0.011745107334487692,0.014437791782841474,0.018115596036037348,0.021526999069946186,0.0132143819566112,0.01436750281040778,0.013029753271121934,0.013062848910412208,0.012566817502883628
desire,0.024576717590389742,0.018514624198105598,0.017937462282801294,0.02075715659004416,0.015995323684781508,0.01732596220045961,0.018426343603611114,0.01501593632652526,0.012749367144252862,0.01586482494796757,0.016763676925995195,0.021112711940655823,0.012810575032458065,0.08371705317591491,0.013445364673080029,0.015144836333413842,0.016964195377365144,0.013826308030173729,0.014847589076445384,0.011587327905823586,0.017789109931965277,0.020349166394192538,0.01458996490790906,0.01954960576481852,0.013460530176567726,0.011658142894822228,0.023769544483820213,0.013989623252460035,0.014119714180797896,0.015618766813617676,0.019484359996136513,0.012981539920854854,0.012003122813867674,0.011522306707039834,0.020343672855342793,0.018275385964880653,0.0120808758519328,0.012829444767479516,0.015722917455091325,0.014173970195943165,0.011989671403318629,0.014836399430998338,0.012008374654366372,0.025382766991807026,0.011902070741367154,0.01378898697866925,0.019688088664094563,0.014952451350619376,0.010776793909340785,0.015035324237530234,0.012974261833564258,0.011681917633439624,0.013592457659663094,0.013113358455029759,0.013205067912587347,0.013478921501761238,0.014850785707149624,0.016029880664416365,0.013515533619801972,0.015501764280670481
disarray,0.010433452801254515,0.019090301252442893,0.019114740177508763,0.015993875612168893,0.013042901712933319,0.013621434177334054,0.012926601364211183,0.015048171164199342,0.01440660539238489,0.015056538148725557,0.021072487837407193,0.013933390102942573,0.013233158919273404,0.012621485351757014,0.07858719983011232,0.019316831482587712,0.02106746232928423,0.012442758714923225,0.024892212752094977,0.01357557232559383,0.014837921482233913,0.012324744221465777,0.01651275422297524,0.016276975885661495,0.015629647549595088,0.013954746060661938,0.010483579720660541,0.01305370961333929,0.02217198263215686,0.012671415471351963,0.015277520721955378,0.017133856567568072,0.01533625540358034,0.014929734902331048,0.013988031196302585,0.019755172676700412,0.016572530492273727,0.01610114005278936,0.01271903646865216,0.009848567623708709,0.01467327061658392,0.017323512859012985,0.01416077981198206,0.011207955564685729,0.01417568573213905,0.00966136496743377,0.011916640512363644,0.019549915641911105,0.015163116934035091,0.01802131134930381,0.019588217525972666,0.012325374451803118,0.020806964863007992,0.01695155081329899,0.014606486927057951,0.017148535642972793,0.016245456065404083,0.019940386694532047,0.017138835626932775,0.020338132984462902
disgust,0.012044907696420347,0.02103203277326712,0.018449071270839387,0.01541395425995361,0.011389242088775986,0.012194792208062464,0.016501393775473047,0.01487187349335425,0.011706712539546957,0.0135443950429361,0.02389123300350201,0.013784687613680157,0.010703156020234084,0.01469985963835642,0.019973152269046494,0.08125732783969744,0.020066337095210447,0.010962175103538219,0.020178711090664565,0.012059946935157672,0.01615981901888385,0.016131761952575423,0.023938261350069427,0.01929752657080914,0.013551736435380018,0.011894528917158727,0.011636649239082633,0.013942401913683322,0.02424378804078614,0.014881535631064313,0.015740285770725938,0.014561360377913467,0.012734723914988328,0.012634319319732365,0.016534063494413633,0.022540306786907476,0.013066401190471704,0.013966972773210481,0.012591841304249299,0.010695684461578252,0.013721444754400316,0.02294580790591001,0.01134790215829588,0.012435624219244577,0.011871327044392872,0.00969200279276161,0.012603129168744533,0.019362043244985975,0.017062663979869074,0.016578161335066923,0.016402976524468264,0.010929946952736472,0.01713358431964926,0.013178537865254773,0.012352476484462511,0.01663486161709043,0.01682533801978312,0.021372385381430256,0.01531823776118012,0.02676261824887216
distrust,0.012660866159815792,0.022155287465643596,0.0236410775391761,0.01914414229487508,0.015021214664002842,0.015313290270489251,0.013741112072400294,0.014827294030610718,0.01383702043289016,0.01505522568986511,0.02301004129769483,0.016036787643345204,0.013725419020123246,0.015507348226265158,0.020515335236334194,0.01889834503817525,0.07652761991929552,0.015044313067019074,0.021637120748129877,0.011915563142655171,0.015470497838712169,0.013727867146517865,0.017297507839162014,0.0171558688888558,0.014291021841297843,0.012412973955124485,0.01287658788057563,0.012589256207090596,0.019998584859585798,0.013079679292149562,0.016900005822427244,0.01782458509255281,0.013280718231315873,0.0127902285006472,0.018028566407742103,0.022187700691834657,0.014914008904616896,0.01573201705691941,0.012579733735702236,0.009788744104273604,0.012513420031801517,0.016330771783574966,0.013993943321213129,0.013849236395904142,0.013179428668483291,0.009692586077637596,0.012910996814271356,0.018278247337122477,0.012400057832881329,0.01668630739350497,0.017175856361330944,0.011206274563760582,0.01716575564617729,0.017679641675105915,0.013768631250876384,0.014453766017735284,0.01484179535111007,0.01828440782131017,0.014904173056660789,0.019544124343627442
dominance,0.015088640354715948,0.01821024377349472,0.0215970684896445,0.021333936484830146,0.023534855221989507,0.02047146691994353,0.01171109080997307,0.01357831407301739,0.016029229500656675,0.01566294907271706,0.01682479781538991,0.01843733092277913,0.0193412835180901,0.016956430052548717,0.016255749284448277,0.013850846810664721,0.020183490902613205,0.10266966085848629,0.017261465355875805,0.011273010186057057,0.013792427917633398,0.012180925879629757,0.01323452105615729,0.01416874729250908,0.014813080365721485,0.013321118529284273,0.016444553140089736,0.011067370910288239,0.014646658909868396,0.011421132902712221,0.016399687688433078,0.0191671389824136,0.01365514011624763,0.012906815729720491,0.019504977117840987,0.017259831669425674,0.015501478050129752,0.01589353396767545,0.012485365961570492,0.009599185491075184,0.01083042796657089,0.01208195268579912,0.01744004426232343,0.01744795915723548,0.013972916760285321,0.010677192672990263,0.013753904786649866,0.014565933258823887,0.009228584545064554,0.014517429821755351,0.015042621972571488,0.012157039541039725,0.014975730964765255,0.0247206076586709,0.014594050427100522,0.011843151005660076,0.01222572125314177,0.01426699520612861,0.013698193900477194,0.014223990066584287
drunkenness,0.011216718817518017,0.02063594446219528,0.020517251349168236,0.01675396725311434,0.013382622097953746,0.014050002683394125,0.013136073038428857,0.014453305421776084,0.013936873941458627,0.015083378164841317,0.02094983052400561,0.014592529652098157,0.01299754411729735,0.013522129495810076,0.0241498686923381,0.018933633668206173,0.02155680266893035,0.012818541613070037,0.07624354554964259,0.012944468328404762,0.014740511032947753,0.012747896750296398,0.01593737862860271,0.016668286825049092,0.016802734239549828,0.014815624837074262,0.011211243874179806,0.01259536609422884,0.02042666833762465,0.012359471152027613,0.015429867476668462,0.015806549647684118,0.01605605564151005,0.01563223534118486,0.014845779558177482,0.021065620122170295,0.015431258244290279,0.01481107403327267,0.01298638277969129,0.01030998673836964,0.01400414848454043,0.016677912788099623,0.013435155477358442,0.012054795240322824,0.013327374443389047,0.010302888526196286,0.012632721625951368,0.018250974524687706,0.014029054208094133,0.017336387015125604,0.017686841852268646,0.01315055191755219,0.021512579600296237,0.017201625309716275,0.014155419915279849,0.017009212102481002,0.015847123731584683,0.020902451722355254,0.018141279863845925,0.01978647875660251
contemplation,0.010834382855202532,0.012326508898478838,0.012264541877420324,0.014630590523384505,0.013384868629634793,0.015340610539870392,0.01440963100840151,0.02105757384854739,0.020090919101968818,0.02119288795358538,0.013575889946076765,0.015483124171044556,0.015576992826581256,0.01172193308258549,0.014629726489992783,0.012569347524964618,0.013186399810381074,0.009298815813858658,0.0143784147465312,0.08468955942000474,0.01838972155676375,0.012773485659303908,0.01104935127031031,0.01605085230982831,0.01351128287094302,0.012487983708643239,0.011022057196991532,0.020466444991407387,0.013886941738507045,0.016503540766050658,0.017355971185423244,0.013997950697437315,0.014199128015747128,0.013339562507142286,0.009683520316325696,0.012929149673976506,0.020222051748996266,0.017563896575307547,0.020349629836501827,0.014631200399980313,0.025072885018028613,0.014544694375021025,0.01688882375636568,0.01104719478969083,0.02196452284642699,0.01358258420395068,0.015326066251683852,0.01803613452271845,0.015377144751506311,0.021678225846579413,0.018952866708080364,0.012557872972545403,0.015602675595181793,0.011804167577906423,0.023091135885360315,0.019040858782745904,0.020946981112028154,0.01492002184723484,0.014672548494022405,0.013836152568819588
